rank,attr,label,type,nominal,S1,S1_conf,ST,ST_conf,interaction,decision
1,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.273020,0.116335,0.373835,0.083198,0.100815,KEEP
2,T_HOVER,t_hover,input,60.0,0.213619,0.078873,0.232287,0.060451,0.018668,KEEP
3,BATTERY_EFF,η_bat,param,0.85,0.129533,0.056292,0.177219,0.046149,0.047686,KEEP
4,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.122630,0.066356,0.115442,0.035789,-0.007188,KEEP
5,ETA_HOVER,η_hover,param,0.65,0.049756,0.028977,0.070933,0.036630,0.021177,KEEP
6,K_WING_B,k_wing_B,model,2.2854,0.034728,0.039272,0.027282,0.007714,-0.007446,marginal
7,DL_MAX,DL_MAX (disk load.),param,55.0,0.013637,0.032759,0.022231,0.005486,0.008594,marginal
8,RHO_AIR,ρ_air,input,1.225,0.018374,0.019757,0.016251,0.006319,-0.002123,marginal
9,AR_FIXED,AR,input,8.0,0.023453,0.022862,0.015178,0.004539,-0.008275,marginal
10,E_OSWALD,e_Oswald,param,0.8,0.020927,0.028328,0.013492,0.003960,-0.007435,marginal
11,CL_MAX,CL_MAX (cruise CL),param,1.0,0.004921,0.023602,0.011939,0.002444,0.007019,marginal
12,CD0_ROTOR,CD0_rotor,param,0.012,0.006474,0.010943,0.006617,0.003745,0.000143,FREEZE
13,SIGMA,σ (solidity),param,0.13,0.000618,0.012274,0.004927,0.002460,0.004309,FREEZE
14,K_ESC,k_ESC,model,0.0003594,0.008435,0.008583,0.004761,0.002249,-0.003675,FREEZE
15,K_ROTOR_A,k_rotor_A,model,0.7484,0.007359,0.012170,0.004089,0.001330,-0.003269,FREEZE
16,K_MOTOR,k_motor,model,0.0002506,0.002517,0.009033,0.001506,0.000441,-0.001011,FREEZE
17,CD0_WING,CD0_wing,param,0.01,0.001761,0.004085,0.000648,0.000220,-0.001114,FREEZE
18,K_WING_A,k_wing_A,model,-0.0802,-0.000009,0.001580,0.000146,0.000040,0.000155,FREEZE
19,K_ROTOR_B,k_rotor_B,model,0.0403,-0.000994,0.002331,0.000096,0.000016,0.001090,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,-0.000000,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.000000,0.000000,0.000000,FREEZE
