rank,attr,label,type,nominal,S_mean,dW_minus20_pct,dW_minus10_pct,dW_minus5_pct,dW_plus5_pct,dW_plus10_pct,dW_plus20_pct,failed,tipping_frac,tipping_constraint,tipping_margin_pct
1,ETA_HOVER,η_hover,param,0.65,0.649997,20.642009,7.481534,3.306936,-2.696678,-4.944566,-8.491022,True,-0.121875,cruise_CL,-0.011
2,BATTERY_EFF,η_bat,param,0.85,0.463804,13.359453,5.276429,2.392648,-2.021538,-3.754774,-6.577877,True,-0.160938,cruise_CL,-0.051
3,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.463804,13.359453,5.276429,2.392648,-2.021538,-3.754774,-6.577877,True,-0.160938,cruise_CL,-0.051
4,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.422902,-7.630324,-3.999361,-2.049707,2.159078,4.438197,9.407718,False,,,
5,T_HOVER,t_hover,input,60.0,0.370856,-6.539115,-3.457692,-1.781111,1.898517,3.929856,8.470030,False,,,
6,RHO_AIR,ρ_air,input,1.225,0.261575,7.097030,2.948101,1.358581,-1.173065,-2.194498,-3.880178,True,-0.070312,cruise_CL,-0.013
7,K_WING_B,k_wing_B,model,2.2854,0.143547,-2.851615,-1.430596,-0.716503,0.718930,1.440303,2.890447,False,,,
8,K_ESC,k_ESC,model,0.0003594,0.133191,-2.544492,-1.300495,-0.657607,0.672969,1.361985,2.791149,False,,,
9,K_MOTOR,k_motor,model,0.0002506,0.092815,-1.797801,-0.912980,-0.460114,0.467582,0.942861,1.917491,False,,,
10,K_ROTOR_A,k_rotor_A,model,0.7484,0.045502,-0.908090,-0.454531,-0.227387,0.227631,0.455506,0.911992,False,,,
11,K_WING_A,k_wing_A,model,-0.0802,0.025186,-0.503128,-0.251713,-0.125894,0.125969,0.252012,0.504324,False,,,
12,CD0_ROTOR,CD0_rotor,param,0.012,0.013525,-0.270348,-0.135214,-0.067617,0.067637,0.135294,0.270667,False,,,
13,SIGMA,σ (solidity),param,0.13,0.013525,-0.270348,-0.135214,-0.067617,0.067637,0.135294,0.270667,False,,,
14,E_OSWALD,e_Oswald,param,0.8,0.013193,0.326142,0.144315,0.068234,-0.061541,-0.117328,-0.214592,False,,,
15,AR_FIXED,AR,input,8.0,0.013193,0.326142,0.144315,0.068234,-0.061541,-0.117328,-0.214592,False,,,
16,K_ROTOR_B,k_rotor_B,model,0.0403,0.011137,0.222861,0.111401,0.055693,-0.055679,-0.111343,-0.222628,False,,,
17,CD0_WING,CD0_wing,param,0.01,0.008695,-0.173761,-0.086913,-0.043465,0.043481,0.086978,0.174020,False,,,
18,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
19,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
20,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
21,CL_MAX,CL_MAX (cruise CL),param,0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,-0.088281,cruise_CL,-0.011
