rank,attr,label,type,nominal,S1,S1_conf,ST,ST_conf,interaction,decision
1,T_HOVER,t_hover,input,60.0,0.585860,0.151384,0.660394,0.139481,0.074535,KEEP
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.110741,0.078497,0.217970,0.064478,0.107229,KEEP
3,ETA_HOVER,η_hover,param,0.65,0.074863,0.042052,0.137474,0.100739,0.062612,KEEP
4,BATTERY_EFF,η_bat,param,0.85,0.067104,0.042126,0.098449,0.029907,0.031345,KEEP
5,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.051422,0.048150,0.062798,0.016873,0.011376,KEEP
6,RHO_AIR,ρ_air,input,1.225,0.025192,0.027341,0.023347,0.010455,-0.001845,marginal
7,K_ROTOR_A,k_rotor_A,model,0.7484,0.013322,0.016491,0.006857,0.002053,-0.006464,FREEZE
8,CL_MAX,CL_MAX (cruise CL),param,1.0,-0.001417,0.015420,0.006644,0.002776,0.008061,FREEZE
9,K_WING_B,k_wing_B,model,2.2854,0.010207,0.015651,0.004172,0.001169,-0.006035,FREEZE
10,K_ESC,k_ESC,model,0.0003594,0.004344,0.005334,0.001506,0.000767,-0.002838,FREEZE
11,CD0_ROTOR,CD0_rotor,param,0.012,-0.000631,0.003747,0.001075,0.000795,0.001706,FREEZE
12,SIGMA,σ (solidity),param,0.13,-0.000403,0.004562,0.000769,0.000522,0.001173,FREEZE
13,K_MOTOR,k_motor,model,0.0002506,-0.000050,0.005298,0.000503,0.000127,0.000553,FREEZE
14,AR_FIXED,AR,input,8.0,0.000522,0.002728,0.000210,0.000055,-0.000311,FREEZE
15,E_OSWALD,e_Oswald,param,0.8,0.001577,0.003407,0.000205,0.000076,-0.001372,FREEZE
16,K_ROTOR_B,k_rotor_B,model,0.0403,-0.000689,0.002498,0.000099,0.000023,0.000788,FREEZE
17,K_WING_A,k_wing_A,model,-0.0802,-0.000201,0.001344,0.000098,0.000023,0.000299,FREEZE
18,DL_MAX,DL_MAX (disk load.),param,55.0,0.000268,0.000738,0.000023,0.000017,-0.000245,FREEZE
19,CD0_WING,CD0_wing,param,0.01,-0.000042,0.000519,0.000010,0.000003,0.000051,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,-0.000000,0.000000,0.000000,0.000000,0.000000,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.000000,0.000000,0.000000,FREEZE
