rank,attr,label,type,nominal,S_mean,dW_minus20_pct,dW_minus10_pct,dW_minus5_pct,dW_plus5_pct,dW_plus10_pct,dW_plus20_pct,failed,tipping_frac,tipping_constraint,tipping_margin_pct
1,ETA_HOVER,η_hover,param,0.65,0.341663,9.481534,3.861083,1.768375,-1.515643,-2.830160,-4.999484,False,,,
2,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.340937,-6.308123,-3.271490,-1.666965,1.733580,3.538369,7.382388,False,,,
3,BATTERY_EFF,η_bat,param,0.85,0.332043,8.775107,3.705925,1.720379,-1.506025,-2.836096,-5.080448,False,,,
4,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.332043,8.775107,3.705925,1.720379,-1.506025,-2.836096,-5.080448,False,,,
5,T_HOVER,t_hover,input,60.0,0.146114,-2.785659,-1.425132,-0.720990,0.738590,1.495586,3.068298,False,,,
6,K_WING_B,k_wing_B,model,2.2854,0.120163,-2.394467,-1.199422,-0.600260,0.601361,1.203827,2.412087,False,,,
7,K_ESC,k_ESC,model,0.0003594,0.105725,-2.042345,-1.038501,-0.523719,0.532944,1.075416,2.190228,False,,,
8,K_MOTOR,k_motor,model,0.0002506,0.073695,-1.438585,-0.727876,-0.366131,0.370616,0.745819,1.510409,False,,,
9,RHO_AIR,ρ_air,input,1.225,0.051608,1.838970,0.669687,0.284327,-0.200266,-0.329762,-0.416684,True,-0.113281,cruise_CL,-0.071
10,K_ROTOR_A,k_rotor_A,model,0.7484,0.038090,-0.760922,-0.380682,-0.190396,0.190507,0.381124,0.762692,False,,,
11,SIGMA,σ (solidity),param,0.13,0.033987,-0.679120,-0.339717,-0.169898,0.169976,0.340031,0.680377,False,,,
12,CD0_ROTOR,CD0_rotor,param,0.012,0.033987,-0.679120,-0.339717,-0.169898,0.169976,0.340031,0.680377,False,,,
13,E_OSWALD,e_Oswald,param,0.8,0.030920,0.770395,0.339130,0.160000,-0.143783,-0.273696,-0.499243,False,,,
14,AR_FIXED,AR,input,8.0,0.030920,0.770395,0.339130,0.160000,-0.143783,-0.273696,-0.499243,False,,,
15,CD0_WING,CD0_wing,param,0.01,0.021828,-0.436110,-0.218167,-0.109112,0.109168,0.218391,0.437007,False,,,
16,K_WING_A,k_wing_A,model,-0.0802,0.021084,-0.421405,-0.210770,-0.105402,0.105436,0.210906,0.421948,False,,,
17,K_ROTOR_B,k_rotor_B,model,0.0403,0.009323,0.186516,0.093245,0.046619,-0.046612,-0.093218,-0.186410,False,,,
18,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
19,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
20,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
21,CL_MAX,CL_MAX (cruise CL),param,0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,-0.120312,cruise_CL,-0.078
