rank,attr,label,type,nominal,S1,S1_conf,ST,ST_conf,interaction,decision
1,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.471878,0.122366,0.429768,0.089332,-0.042109,KEEP
2,ETA_HOVER,η_hover,param,0.65,0.144174,0.063987,0.151414,0.031040,0.007240,KEEP
3,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.119277,0.055530,0.124036,0.021946,0.004760,KEEP
4,BATTERY_EFF,η_bat,param,0.85,0.102368,0.055164,0.112533,0.022812,0.010165,KEEP
5,RHO_AIR,ρ_air,input,1.225,0.044085,0.028438,0.040195,0.007575,-0.003890,marginal
6,K_ROTOR_A,k_rotor_A,model,0.7484,0.024440,0.027766,0.024951,0.004649,0.000512,marginal
7,K_WING_B,k_wing_B,model,2.2854,0.025131,0.026652,0.023316,0.003730,-0.001815,marginal
8,K_ESC,k_ESC,model,0.0003594,0.021372,0.020429,0.021914,0.004047,0.000541,marginal
9,T_HOVER,t_hover,input,60.0,0.023928,0.024045,0.021504,0.004740,-0.002423,marginal
10,CL_MAX,CL_MAX (cruise CL),param,1.0,0.012725,0.023180,0.015293,0.002717,0.002568,marginal
11,DL_MAX,DL_MAX (disk load.),param,55.0,0.011163,0.021377,0.011724,0.002461,0.000561,marginal
12,K_MOTOR,k_motor,model,0.0002506,0.031946,0.017886,0.010100,0.001985,-0.021846,marginal
13,K_WING_A,k_wing_A,model,-0.0802,0.002508,0.007738,0.002430,0.000394,-0.000078,FREEZE
14,SIGMA,σ (solidity),param,0.13,-0.000979,0.006546,0.001847,0.000385,0.002825,FREEZE
15,E_OSWALD,e_Oswald,param,0.8,0.003371,0.008320,0.001798,0.000392,-0.001573,FREEZE
16,CD0_ROTOR,CD0_rotor,param,0.012,0.002200,0.006769,0.001773,0.000346,-0.000428,FREEZE
17,AR_FIXED,AR,input,8.0,0.007177,0.006345,0.001558,0.000363,-0.005620,FREEZE
18,K_ROTOR_B,k_rotor_B,model,0.0403,-0.000659,0.006386,0.000864,0.000156,0.001523,FREEZE
19,CD0_WING,CD0_wing,param,0.01,0.000487,0.001341,0.000063,0.000012,-0.000423,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,-0.000000,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.000000,0.000000,0.000000,FREEZE
