rank,attr,label,type,nominal,S_mean,dW_minus20_pct,dW_minus10_pct,dW_minus5_pct,dW_plus5_pct,dW_plus10_pct,dW_plus20_pct,failed,tipping_frac,tipping_constraint,tipping_margin_pct
1,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.296695,-5.564294,-2.868659,-1.457054,1.504902,3.060232,6.333519,False,,,
2,ETA_HOVER,η_hover,param,0.65,0.230744,6.128279,2.580067,1.196004,-1.044264,-1.964233,-3.511288,False,,,
3,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.138385,3.506557,1.526082,0.716668,-0.639066,-1.212536,-2.199443,False,,,
4,BATTERY_EFF,η_bat,param,0.85,0.138385,3.506557,1.526082,0.716668,-0.639066,-1.212536,-2.199443,False,,,
5,K_WING_B,k_wing_B,model,2.2854,0.122631,-2.447150,-1.224942,-0.612813,0.613498,1.227681,2.458102,False,,,
6,K_ESC,k_ESC,model,0.0003594,0.085072,-1.656213,-0.839074,-0.422345,0.428099,0.862093,1.748368,False,,,
7,T_HOVER,t_hover,input,60.0,0.078330,-1.528191,-0.773430,-0.389100,0.393978,0.792946,1.606313,False,,,
8,RHO_AIR,ρ_air,input,1.225,0.071450,1.915763,0.811117,0.374930,-0.322721,-0.600538,-1.044306,False,,,
9,K_MOTOR,k_motor,model,0.0002506,0.059307,-1.164036,-0.587427,-0.295089,0.297886,0.598617,1.208814,False,,,
10,K_ROTOR_A,k_rotor_A,model,0.7484,0.038873,-0.776909,-0.388592,-0.194330,0.194399,0.388867,0.778009,False,,,
11,K_WING_A,k_wing_A,model,-0.0802,0.021517,-0.430172,-0.215128,-0.107575,0.107596,0.215213,0.430510,False,,,
12,CD0_ROTOR,CD0_rotor,param,0.012,0.011588,-0.231725,-0.115873,-0.057939,0.057945,0.115894,0.231810,False,,,
13,SIGMA,σ (solidity),param,0.13,0.011588,-0.231725,-0.115873,-0.057939,0.057945,0.115894,0.231810,False,,,
14,K_ROTOR_B,k_rotor_B,model,0.0403,0.009515,0.190327,0.095155,0.047576,-0.047572,-0.095139,-0.190261,False,,,
15,E_OSWALD,e_Oswald,param,0.8,0.007640,0.188304,0.083488,0.039506,-0.035682,-0.068068,-0.124628,False,,,
16,AR_FIXED,AR,input,8.0,0.007640,0.188304,0.083488,0.039506,-0.035682,-0.068068,-0.124628,False,,,
17,CD0_WING,CD0_wing,param,0.01,0.007416,-0.148257,-0.074146,-0.037077,0.037086,0.074181,0.148398,False,,,
18,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
19,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
20,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
21,CL_MAX,CL_MAX (cruise CL),param,0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
